test,year,school,county,city,math,reading,writing,english,science,total
ACT,2011,BLANCO,blanco,AUSTIN,NA,NA,NA,20.3,21.7,21.3
ACT,2011,BLAND,hunt,RICHARDSON,NA,NA,NA,18.5,21.3,20.1
ACT,2011,BLANKET,brown,SAN ANGELO,NA,20,NA,17.8,19.8,19.6
ACT,2011,BLOOMBURG,cass,MT PLEASANT,NA,NA,NA,19.1,19.5,20.2
ACT,2011,BLOOMING GROVE,navarro,WACO,NA,NA,NA,18,20.9,19.9
ACT,2011,BLOOMINGTON,victoria,VICTORIA,NA,19,NA,17.9,21.7,19.9
ACT,2011,BLUE RIDGE,collin,RICHARDSON,NA,NA,NA,17.8,19.8,19.7
ACT,2011,BLUM,hill,WACO,NA,NA,NA,20.8,20.1,20.9
ACT,2011,BOERNE,kendall,SAN ANTONIO,NA,NA,NA,23.8,23.4,24
ACT,2011,BOERNE - SAMUEL V CHAMPION,kendall,SAN ANTONIO,NA,NA,NA,24,24.1,24.5
ACT,2011,BOLES,hunt,RICHARDSON,NA,NA,NA,19.8,21.7,21.3
ACT,2011,BOLING,wharton,VICTORIA,NA,NA,NA,17.4,19.2,19.3
ACT,2011,BONHAM,fannin,RICHARDSON,NA,NA,NA,18.7,21.8,20.6
ACT,2011,BOOKER J H/,lipscomb,AMARILLO,NA,NA,NA,16.8,18.9,18.6
ACT,2011,BOOKER T WASHINGTON SPVA MAGNET,dallas,RICHARDSON,NA,NA,NA,22.7,21.8,22.4
ACT,2011,BORDEN COUNTY SCHOOL,borden,LUBBOCK,NA,NA,NA,22.3,21.9,22.5
ACT,2011,BORGER,hutchinson,AMARILLO,NA,NA,NA,18.2,20.7,20
ACT,2011,BOSQUEVILLE SCHOOL SECONDARY,mclennan,WACO,NA,NA,NA,18.6,21.3,20.1
ACT,2011,BOSWELL,tarrant,FORT WORTH,NA,NA,NA,20.6,22.4,22.1
ACT,2011,BOVINA,parmer,AMARILLO,NA,NA,NA,15.1,18.1,17.3
ACT,2011,BOWIE,el paso,EL PASO,NA,NA,NA,13.5,16.1,15.5
ACT,2011,BOWIE,montague,WICHITA FALLS,NA,NA,NA,20.7,21.3,22.1
ACT,2011,BOWIE,tarrant,FORT WORTH,NA,NA,NA,17.6,19.1,19
ACT,2011,BOWIE,travis,AUSTIN,NA,NA,NA,23.3,23.6,24.1
ACT,2011,BOYD,wise,FORT WORTH,NA,NA,NA,18,22,20
ACT,2011,BOYS RANCH,oldham,AMARILLO,NA,16,NA,14.5,16.5,16.2
ACT,2011,BRACKENRIDGE,bexar,SAN ANTONIO,NA,NA,NA,15.9,18.3,17.8
ACT,2011,BRACKETT,kinney,SAN ANTONIO,NA,NA,NA,22.1,23,22.5
ACT,2011,BRADY,mcculloch,SAN ANGELO,21,NA,NA,19.4,20.9,20.8
ACT,2011,BRANDEIS,bexar,SAN ANTONIO,NA,NA,NA,21.6,22.5,22.6
ACT,2011,BRAZOS,austin,HUNTSVILLE,NA,NA,NA,18.3,21.2,20.2
ACT,2011,BRAZOS RIVER CHARTER SCHOOL,somervell,FORT WORTH,NA,NA,NA,11.8,16.5,15.5
ACT,2011,BRAZOS SCHOOL FOR INQUIRY AND CREA,brazos,HUNTSVILLE,16,NA,NA,14,17.5,15.5
ACT,2011,BRAZOSPORT,brazoria,HOUSTON,NA,NA,NA,16.4,17.9,17.9
ACT,2011,BRAZOSWOOD,brazoria,HOUSTON,NA,NA,NA,21.8,22.5,22.7
ACT,2011,BRECKENRIDGE,stephens,ABILENE,NA,21,NA,19.7,21.9,22
ACT,2011,BREMOND,robertson,HUNTSVILLE,NA,NA,NA,18.3,19.3,19.6
ACT,2011,BRENHAM,washington,HUNTSVILLE,NA,NA,NA,17.5,19,19
ACT,2011,BREWER,tarrant,FORT WORTH,NA,NA,NA,18.2,19.7,19.5
ACT,2011,BRIDGE CITY,orange,BEAUMONT,NA,NA,NA,18.9,20.3,20
ACT,2011,BRIDGEPORT,wise,FORT WORTH,NA,NA,NA,18.5,20.2,20.2
ACT,2011,BRIGHT IDEAS CHARTER,wichita,WICHITA FALLS,NA,NA,NA,NA,NA,NA
ACT,2011,BROADDUS,san augustine coun,KILGORE,NA,NA,NA,18.9,18.8,19.1
ACT,2011,BROCK,parker,FORT WORTH,NA,NA,NA,22,22.2,22.8
ACT,2011,BRONTE,coke,SAN ANGELO,NA,NA,NA,20,20.7,20.6
ACT,2011,BROOKELAND,jasper,BEAUMONT,NA,NA,NA,16.4,18.9,18.4
ACT,2011,BROOKESMITH,brown,SAN ANGELO,NA,22,NA,23.1,22,22.7
ACT,2011,BROOKS ACADEMY OF SCIENCE AND ENGI,bexar,SAN ANTONIO,NA,NA,NA,22.3,21.5,22.3
ACT,2011,BROWNFIELD,terry,LUBBOCK,NA,NA,NA,16.1,18.8,18.1
ACT,2011,BROWNSBORO,henderson,KILGORE,NA,NA,NA,18.3,19.7,19.6
ACT,2011,BROWNWOOD,brown,SAN ANGELO,NA,NA,NA,18.6,21,20.6
ACT,2011,BRUCEVILLE-EDDY,mclennan,WACO,NA,NA,NA,21.6,22.5,21.9
ACT,2011,BRUNI,webb,EDINBURG,NA,NA,NA,NA,NA,NA
ACT,2011,BRYAN,brazos,HUNTSVILLE,NA,NA,NA,17.2,19.9,19.2
ACT,2011,BRYAN ADAMS HIGH SCHOOL,dallas,RICHARDSON,18,NA,NA,15.5,17.9,17.6
ACT,2011,BRYAN COLLEGIATE,brazos,HUNTSVILLE,NA,NA,NA,17.4,19.7,19.3
ACT,2011,BRYSON SCHOOL,jack,WICHITA FALLS,NA,NA,NA,14.8,17.8,18.2
