school,county,lat,lon,complvl_num,conf,complvl
GATEWAY,henderson,32.175978,-96.034366,25,3,District
GEORGE RANCH,fort bend,29.518717,-95.695359,23,4,District
GEORGE WEST,live oak,28.329083,-98.1216,31,2,District
GEORGETOWN,williamson,30.661819,-97.666511,15,5,District
GIDDINGS,lee,30.202315,-96.930911,19,3,District
GILMER,upshur,32.731362,-94.956206,13,3,District
GLADEWATER,upshur,32.546809,-94.963636,13,3,District
GLEN ROSE,somervell,32.231576,-97.765328,8,3,District
GODLEY,johnson,32.454794,-97.544607,11,2,District
GOLDTHWAITE,mills,31.453855,-98.577815,12,1,District
GOLIAD,goliad,28.677255,-97.394153,30,3,District
GONZALES,gonzales,29.521521,-97.438463,26,3,District
GOODRICH,polk,30.606346,-94.945071,23,1,District
GOOSE CREEK MEMORIAL,harris,29.823853,-94.968571,19,4,District
GORMAN,eastland,32.208394,-98.675841,12,1,District
GRADY,mcculloch,31.10753,-99.338921,9,1,District
GRAFORD,palo pinto,32.939565,-98.252417,12,1,District
GRAHAM,young,33.096475,-98.581492,5,3,District
GRANBURY,hood,32.439578,-97.810423,4,5,District
GRAND PRAIRIE,dallas,32.75367,-97.002732,6,5,District
GRAND SALINE,van zandt,32.685533,-95.713811,17,2,District
GRANDVIEW,johnson,32.263475,-97.176234,11,2,District
GRANGER,eastland,32.471152,-98.651652,28,1,District
GRAPE CREEK,tom green,31.568286,-100.546519,2,2,District
GRAPELAND,houston,31.492838,-95.483441,21,2,District
GRAPEVINE,tarrant,32.91568,-97.119021,5,5,District
GREENVILLE,hunt,33.104575,-96.119782,12,4,District
GREENWOOD,midland,32.02378,-101.895358,3,3,District
GREGORY-PORTLAND,san patricio,27.903467,-97.323406,31,4,District
GROESBECK,limestone,31.538977,-96.524343,18,3,District
GRUVER,hansford,36.261648,-101.400335,2,1,District
GUNTER,grayson,33.457626,-96.73758,15,2,District
GUYER,denton,33.135663,-97.103456,5,4,District
HALE CENTER,hale,34.069823,-101.85034,6,1,District
HALLETTSVILLE,lavaca,29.447363,-96.935069,26,3,District
HALLSVILLE,harrison,32.5147,-94.590751,17,4,District
HALTOM,tarrant,32.848206,-97.279777,5,5,District
HAMILTON,hamilton,31.698771,-98.128132,10,2,District
HAMLIN,jones,32.8788,-100.132977,6,1,District
HAMSHIRE-FANNETT,jefferson,29.862641,-94.3144,24,3,District
HANNA,collin,33.360926,-96.550882,32,5,District
HAPPY,swisher,34.746226,-101.860928,3,1,District
HARDIN,liberty,30.156776,-94.73436,24,2,District
HARDIN-JEFFERSON,hardin,30.103736,-94.40581,24,3,District
HARGRAVE,harris,30.042333,-95.059807,23,3,District
HARKER HEIGHTS,bell,31.056837,-97.651118,13,5,District
HARLANDALE,bexar,29.365359,-98.502131,30,4,District
HARLETON,harrison,32.67733,-94.57145,22,1,District
HARLINGEN,cameron,26.20793,-97.683689,32,5,District
HARMONY,upshur,32.754279,-95.108978,19,2,District
HARMONY SCIENCE ACADEMY,harris,29.679907,-95.558958,26,2,District
HARPER,gillespie,30.301925,-99.244797,30,1,District
HART,mclennan,31.541492,-96.828088,4,1,District
HASKELL,haskell,33.163528,-99.733197,6,1,District
HASTINGS,harris,29.709859,-95.597954,19,5,District
HAWKINS,wood,32.582157,-95.20729,19,2,District
HAWLEY,jones,32.613618,-99.819994,4,2,District
HEALTH CAREERS,bexar,29.520596,-98.578849,27,5,District
HEARNE,robertson,30.870844,-96.601275,22,2,District
HEBRON,denton,33.035521,-96.858636,9,4,District
HEMPHILL,sabine,31.346412,-93.847049,20,2,District
HEMPSTEAD,waller,30.083392,-96.07723,20,3,District
HENDERSON,rusk,32.170084,-94.822051,12,4,District
HENDRICKSON,travis,30.464251,-97.588671,26,4,District
HENRIETTA,clay,33.819859,-98.178638,8,2,District
HEREFORD,deaf smith,34.825544,-102.395734,3,4,District
HERITAGE,collin,33.17709,-96.754511,9,4,District
HICO,hamilton,31.993912,-98.023832,10,2,District
HIGH ISLAND,galveston,29.563727,-94.390309,27,1,District
HIGHLAND,bexar,29.389605,-98.442819,9,1,District
HIGHLAND PARK,potter,35.250132,-101.654804,11,4,District
HIGHLANDS,bexar,29.389605,-98.442819,25,5,District
HIGHTOWER,fort bend,29.531608,-95.497847,20,5,District
HILLCREST,dallas,32.883211,-96.785593,10,4,District
HILLSBORO,hill,31.982956,-97.127612,8,3,District
HIRSCHI,wichita,33.933954,-98.528622,5,3,District
HITCHCOCK,galveston,29.348261,-95.029923,26,2,District
HOLLAND,bell,30.879839,-97.409594,28,1,District
HOLLIDAY,archer,33.810669,-98.689016,8,2,District
HOLMES,bexar,29.465447,-98.617377,27,5,District
HONDO,medina,29.341546,-99.135524,29,3,District
HONEY GROVE,fannin,33.591358,-95.900085,16,2,District
HOOKS,bowie,33.467853,-94.284053,16,2,District
HORIZON,el paso,31.684482,-106.170095,2,4,District
HORN,dallas,32.731652,-96.557413,12,5,District
HOUSTON,bexar,29.424656,-98.399299,21,5,District
HOWE,hidalgo,26.227331,-98.261031,15,2,District
HUBBARD,hill,31.835553,-96.812684,18,1,District
HUDSON,bexar,29.509676,-98.306675,20,3,District
HUGHES SPRINGS,cass,33.006722,-94.636089,18,2,District
HULL-DAISETTA,liberty,30.117173,-94.644457,27,1,District
HUMBLE,harris,29.982781,-95.246671,22,5,District
HUNTINGTON,angelina,31.284709,-94.570792,21,3,District
HUNTSVILLE,walker,30.741103,-95.536608,14,5,District
HUTTO,williamson,30.53636,-97.562251,19,3,District
IDALOU,lubbock,33.65992,-101.683182,5,2,District
IDEA ACADEMY,hidalgo,26.166611,-98.064791,32,2,District
IDEA COLLEGE PREP,hidalgo,26.166611,-98.064791,32,2,District
INDEPENDENCE,collin,33.165479,-96.750465,9,5,District
INDUSTRIAL,jackson,28.819352,-96.615769,30,2,District
INGLESIDE,san patricio,27.876711,-97.218955,30,3,District
INGRAM TOM MOORE,kerr,30.074421,-99.252053,25,3,District
IOLA,grimes,30.767915,-96.072966,26,1,District
IOWA PARK,wichita,33.96259,-98.693211,5,3,District
IRAAN,pecos,30.909272,-101.901069,8,1,District
IRVIN,dallas,32.824989,-96.949999,1,4,District
IRVING,dallas,32.824989,-96.949999,6,5,District
ITALY,ellis,32.181129,-96.878968,14,2,District
ITASCA,hill,32.164515,-97.145293,11,2,District
JACKSBORO,jack,33.227562,-98.170604,9,2,District
JACKSONVILLE,cherokee,31.953581,-95.250778,17,4,District
JARRELL,williamson,30.81484,-97.627411,25,2,District
JASPER,collin,33.067659,-96.783258,22,3,District
JAY,nueces,27.753053,-97.394459,27,5,District
JAYTON,liberty,30.064554,-94.90533,11,1,District
JEFFERSON,bexar,29.465178,-98.538604,10,4,District
JIM NED,taylor,32.213199,-99.797673,3,2,District
JOAQUIN,shelby,31.965934,-94.049919,24,1,District
JOHNSON,bexar,29.65601,-98.435461,29,5,District
JOHNSTON,bexar,29.65601,-98.435461,25,4,District
JOSHUA,johnson,32.450188,-97.381962,6,4,District
JOURDANTON,atascosa,28.90855,-98.53974,28,2,District
