school,state,county,city,lat,lon
COLLIN CO J J A E P,tx,collin,FARMERSVILLE,33.170902,-96.370675
COLLIN CO J J A E P,tx,collin,FRISCO,33.1242,-96.798541
COLLIN CO J J A E P,tx,collin,PRINCETON,33.177418,-96.491058
COLLIN CO J J A E P,tx,collin,MCKINNEY,33.245773,-96.635085
COLLIN CO J J A E P,tx,collin,WYLIE,33.003282,-96.536665
COLLINS-PARR EL,tx,duval,SAN DIEGO,27.754715,-98.246526
COLLINS EL,tx,harris,HOUSTON,29.710905,-95.554801
COLLINS EL,tx,el paso,EL PASO,31.90608,-106.429665
COLLINS GARDEN EL,tx,bexar,SAN ANTONIO,29.397744,-98.517792
COLLINS INT,tx,montgomery,THE WOODLANDS,30.18138,-95.50314
COLLINS MIDDLE,tx,navarro,CORSICANA,32.106533,-96.492011
COLLINSVILLE,tx,grayson,COLLINSVILLE,33.562163,-96.904695
COLLINSVILLE EL,tx,grayson,COLLINSVILLE,33.558346,-96.906279
COLLINSVILLE INT,tx,grayson,COLLINSVILLE,33.558107,-96.907334
COLLINSVILLE PRI,tx,grayson,COLLINSVILLE,33.557987,-96.905975
COLMESNEIL EL,tx,tyler,COLMESNEIL,30.908323,-94.429716
COLMESNEIL JH/,tx,tyler,COLMESNEIL,30.908323,-94.429716
COLONIAL HEIGHTS EL,tx,terry,BROWNFIELD,33.173536,-102.262449
COLONIAL HILLS EL,tx,bexar,SAN ANTONIO,29.516075,-98.53648
COLONIES NORTH EL,tx,bexar,SAN ANTONIO,29.531542,-98.553274
COLONY BEND EL,tx,fort bend,SUGAR LAND,29.580713,-95.610084
COLONY MEADOWS EL,tx,fort bend,SUGAR LAND,29.580945,-95.629391
COLORADO,tx,mitchell,COLORADO CITY,32.404352,-100.848882
COLORADO ISD DAEP,tx,mitchell,WESTBROOK,32.360116,-101.01298
COLORADO MIDDLE,tx,mitchell,COLORADO CITY,32.399738,-100.863127
COLORADO RIVER COLLEGIATE ACADEM,tx,bastrop,BASTROP,30.11852,-97.315421
COLT EL,tx,burnet,MARBLE FALLS,30.59764,-98.24167
COLUMBIA,tx,brazoria,WEST COLUMBIA,29.137502,-95.650609
COLUMBIA HEIGHTS EL,tx,bexar,SAN ANTONIO,29.369704,-98.531504
COLUMBUS,tx,colorado,COLUMBUS,29.702155,-96.562041
COLUMBUS ALTERNATIVE SCHOOL,tx,colorado,COLUMBUS,29.70244,-96.545201
COLUMBUS ALTERNATIVE SCHOOL NEW,tx,austin,NEW ULM,29.90515,-96.510171
COLUMBUS EL,tx,colorado,COLUMBUS,29.70363,-96.542185
COLUMBUS J H,tx,colorado,COLUMBUS,29.711125,-96.549676
COMAL ACADEMY,tx,comal,NEW BRAUNFELS,29.706894,-98.09869
COMAL DISCIPLINE CENTER,tx,comal,NEW BRAUNFELS,29.7086,-98.09406
COMANCHE,tx,comanche,COMANCHE,31.912634,-98.595579
COMANCHE EARLY CHILDHOOD CENTER,tx,comanche,COMANCHE,31.903856,-98.602681
COMANCHE EL,tx,comanche,COMANCHE,31.912705,-98.591063
COMANCHE MIDDLE,tx,comanche,COMANCHE,31.912705,-98.591063
COMANCHE SPRINGS EL,tx,tarrant,FORT WORTH,32.889747,-97.366085
COMFORT,tx,kendall,COMFORT,29.994897,-98.902361
COMFORT EL,tx,kendall,COMFORT,29.971856,-98.912516
COMFORT MIDDLE,tx,kendall,COMFORT,29.971046,-98.914836
COMMERCE,tx,hunt,COMMERCE,33.241807,-95.925454
COMMERCE EL,tx,hunt,COMMERCE,33.230572,-95.887839
COMMERCE MIDDLE,tx,hunt,COMMERCE,33.236353,-95.888277
COMMONWEALTH EL,tx,fort bend,SUGAR LAND,29.55859,-95.615267
COMMUNITY,tx,collin,NEVADA,33.0238,-96.3732
COMMUNITY BASED PK,tx,tarrant,ARLINGTON,32.70646,-97.184131
COMMUNITY ED,tx,denton,DENTON,33.225044,-97.132661
COMMUNITY SCHOOL,tx,harris,PASADENA,29.682805,-95.155425
COMMUNITY SERVICES-SEC,tx,harris,HOUSTON,29.73223,-95.328381
COMO-PICKTON SCHOOL,tx,hopkins,COMO,33.065008,-95.485136
COMO EL,tx,tarrant,FORT WORTH,32.721204,-97.408938
COMO MONTESSORI,tx,tarrant,FORT WORTH,32.721227,-97.410761
COMPASS,tx,harris,HOUSTON,29.913794,-95.362113
COMPASS ACADEMY CHARTER SCHOOL,tx,ector,ODESSA,31.86782,-102.327311
COMPASS CENTER,tx,cherokee,JACKSONVILLE,31.933512,-95.262076
COMQUEST ACADEMY,tx,harris,TOMBALL,30.100571,-95.612795
COMSTOCK EL,tx,collin,MCKINNEY,33.159449,-96.710868
COMSTOCK SCHOOL,tx,val verde,COMSTOCK,29.68096,-101.17225
CONDIT EL,tx,harris,BELLAIRE,29.702772,-95.467319
CONGRESSMAN SILVESTRE & CAROLINA,tx,el paso,EL PASO,31.9186,-106.6006
CONLEY EL,tx,harris,HOUSTON,29.945619,-95.471604
CONNALLY EARLY CHILDHOOD CENTER,tx,mclennan,WACO,31.641894,-97.099354
CONNALLY EL,tx,mclennan,WACO,31.64283,-97.098793
CONNALLY HIGH SCHOOL,tx,mclennan,WACO,31.642828,-97.1025
CONNALLY J H,tx,mclennan,ELM MOTT,31.654642,-97.107757
CONNALLY MIDDLE,tx,bexar,SAN ANTONIO,29.501863,-98.655483
CONNALLY PRI,tx,mclennan,ELM MOTT,31.65463,-97.109183
CONNELL MIDDLE,tx,bexar,SAN ANTONIO,29.367878,-98.462218
CONROE,tx,montgomery,CONROE,30.321424,-95.48414
CONSTANCE HULBERT EL,tx,el paso,EL PASO,31.738545,-106.364684
CONVERSE EL,tx,bexar,CONVERSE,29.49206,-98.308321
COOK EL,tx,travis,AUSTIN,30.377944,-97.704836
COOK JR EL,tx,harris,HOUSTON,29.82426,-95.31929
COOK MIDDLE,tx,harris,HOUSTON,29.905483,-95.568747
COOKE EL,tx,johnson,CLEBURNE,32.3596,-97.408231
COOKE/FANNIN/GRAYSON CO JUVENILE,tx,grayson,DENISON,33.70777,-96.663011
COOLEY EL,tx,el paso,EL PASO,31.767393,-106.417486
COOLIDGE,tx,limestone,COOLIDGE,31.748056,-96.655377
COOLIDGE EL,tx,limestone,COOLIDGE,31.748962,-96.655544
COOP EL,tx,harris,HOUSTON,29.858774,-95.348506
COOPER,tx,taylor,ABILENE,32.406341,-99.748745
COOPER,tx,delta,COOPER,33.362255,-95.698676
COOPER ACADEMY,tx,bexar,SAN ANTONIO,29.41449,-98.525331
COOPER EL,tx,delta,COOPER,33.363441,-95.694028
COOPER EL,tx,dallas,GARLAND,32.934362,-96.645801
COOPER J H,tx,delta,COOPER,33.362255,-95.698676
COPELAND EL,tx,harris,HOUSTON,29.8915,-95.682
COPELAND EL,tx,harris,HUFFMAN,30.024568,-95.112381
COPPELL,tx,dallas,COPPELL,32.974672,-96.998599
COPPELL MIDDLE EAST,tx,dallas,COPPELL,32.961082,-96.969142
COPPELL MIDDLE NORTH,tx,dallas,COPPELL,32.983339,-96.991427
COPPELL MIDDLE WEST,tx,dallas,COPPELL,32.937277,-97.0024
COPPERAS COVE,tx,coryell,COPPERAS COVE,31.126675,-97.913112
COPPERAS COVE J H,tx,coryell,COPPERAS COVE,31.115532,-97.883875
COPPERFIELD EL,tx,bexar,CONVERSE,29.501729,-98.288783
COPPERFIELD EL,tx,travis,AUSTIN,30.388269,-97.659892
CORA SPENCER EL,tx,tarrant,GRAND PRAIRIE,32.582066,-97.055732
CORA THOMAS EL,tx,fort bend,RICHMOND,29.51522,-95.744681
CORBELL EL,tx,denton,FRISCO,33.162372,-96.8813
COREY FINE ARTS / DUAL LANGUAGE,tx,tarrant,ARLINGTON,32.663673,-97.177284
CORINA PENA EL,tx,hidalgo,PENITAS,26.284928,-98.433362
CORINTH CLASSICAL ACADEMY,tx,denton,CORINTH,33.138429,-97.049309
CORINTH EL,tx,denton,CORINTH,33.132916,-97.052837
CORNELIUS EL,tx,harris,HOUSTON,29.678085,-95.294086
CORNERSTONE ACADEMY,tx,harris,HOUSTON,29.814509,-95.50371
CORNERSTONE EL,tx,fort bend,SUGAR LAND,29.586856,-95.656885
CORONADO,tx,el paso,EL PASO,31.835945,-106.546411
CORONADO,tx,lubbock,LUBBOCK,33.564022,-101.917481
CORONADO EL,tx,randall,AMARILLO,35.180002,-101.864727
CORONADO MIDDLE,tx,hale,PLAINVIEW,34.206183,-101.716194
CORONADO VILLAGE EL,tx,bexar,UNIVERSAL CITY,29.550556,-98.318352
CORPUS CHRISTI COLLEGE PREP,tx,nueces,CORPUS CHRISTI,27.7254,-97.408711
CORPUS CHRISTI MONTESSORI SCHOOL,tx,nueces,CORPUS CHRISTI,27.77512,-97.398651
CORRECTIVE BEHAVIOR CTR,tx,cass,ATLANTA,33.11723,-94.16648
CORRIGAN-CAMDEN,tx,polk,CORRIGAN,30.991718,-94.826293
CORRIGAN-CAMDEN EL,tx,polk,CORRIGAN,30.992616,-94.826203
CORRIGAN-CAMDEN J H,tx,polk,CORRIGAN,30.991356,-94.824727
CORRIGAN-CAMDEN PRI,tx,polk,CORRIGAN,30.992616,-94.826203
CORSICANA H IGH SCHOOL,tx,navarro,CORSICANA,32.085093,-96.515678
COSTON EL,tx,angelina,LUFKIN,31.350149,-94.713059
COTTON CENTER SCHOOL,tx,hale,COTTON CENTER,33.994338,-101.991927
COTTONWOOD CREEK EL,tx,dallas,COPPELL,32.976387,-97.00762
COTTONWOOD CREEK EL,tx,williamson,HUTTO,30.55809,-97.549413
COTULLA,tx,la salle,COTULLA,28.43863,-99.235161
COUNTRY PLACE EL,tx,dallas,CARROLLTON,32.967414,-96.863567
COUNTY LINE EL,tx,comal,NEW BRAUNFELS,29.670716,-98.12136
COUNTY RESIDENTIAL CENTER,tx,collin,MCKINNEY,33.245773,-96.635074
COUPLAND EL,tx,williamson,COUPLAND,30.453691,-97.390717
COVE CHARTER ACADEMY,tx,coryell,COPPERAS COVE,31.09733,-97.908851
COVINGTON M S,tx,travis,AUSTIN,30.212846,-97.834284
COVINGTON SCHOOL,tx,hill,COVINGTON,32.183152,-97.256548
COWAN EL,tx,travis,AUSTIN,30.18874,-97.833538
COWEN EARLY CHILDHOOD CENTER,tx,nolan,SWEETWATER,32.469252,-100.416347
COX INT,tx,montgomery,SPRING,30.108649,-95.378637
COYLE MIDDLE,tx,dallas,ROWLETT,32.90099,-96.561718
COYOTE RIDGE EL,tx,denton,CARROLLTON,33.034223,-96.920607
CRAIG MIDDLE,tx,taylor,ABILENE,32.441698,-99.70767
CRAIN EL,tx,victoria,VICTORIA,28.81931,-96.988681
CRANDALL,tx,kaufman,CRANDALL,32.623252,-96.458015
CRANDALL COMPASS ACADEMY,tx,kaufman,CRANDALL,32.623258,-96.458002
CRANDALL MIDDLE,tx,kaufman,CRANDALL,32.621325,-96.460397
CRANE EL,tx,crane,CRANE,31.395993,-102.352601
CRANE HIGH SCHOOL,tx,crane,CRANE,31.394184,-102.353383
CRANE MIDDLE,tx,crane,CRANE,31.393247,-102.351527
CRANFILLS GAP SCHOOL,tx,bosque,CRANFILLS GAP,31.769597,-97.824408
CRAWFORD,tx,mclennan,CRAWFORD,31.532058,-97.450909
CRAWFORD EL,tx,mclennan,CRAWFORD,31.532058,-97.450909
CREEDMOOR EL,tx,travis,CREEDMOOR,30.090699,-97.720278
CREEK VALLEY MIDDLE,tx,denton,CARROLLTON,33.022262,-96.925775
CREEK VIEW EL,tx,brazos,COLLEGE STATION,30.56882,-96.290101
CREEKSIDE EL,tx,denton,LEWISVILLE,33.01396,-97.006761
CREEKSIDE FOREST EL,tx,harris,THE WOODLANDS,30.14312,-95.511514
CREEKSIDE INT,tx,galveston,LEAGUE CITY,29.495671,-95.14129
CREEKSIDE PARK J H,tx,harris,THE WOODLANDS,30.138051,-95.556372
CREEKVIEW,tx,denton,CARROLLTON,33.002931,-96.912432
CREEKVIEW EL,tx,harris,THE WOODLANDS,30.142933,-95.557465
CREEKVIEW MIDDLE,tx,tarrant,FORT WORTH,32.859737,-97.407613
CREEKWOOD MIDDLE,tx,harris,KINGWOOD,30.058736,-95.188426
CREIGHTON EL,tx,montgomery,CONROE,30.274237,-95.320843
CRENSHAW EL,tx,harris,CHANNELVIEW,29.805807,-95.114607
CRENSHAW EL AND MIDDLE,tx,galveston,PORT BOLIVAR,29.428735,-94.689344
CRESPO EL,tx,harris,HOUSTON,29.699726,-95.288143
CRESTVIEW EL,tx,randall,CANYON,35.000236,-101.933564
CRESTVIEW EL,tx,lubbock,LUBBOCK,33.521541,-101.94457
CRESTVIEW EL,tx,young,GRAHAM,33.112792,-98.571717
CRESTVIEW EL,tx,bexar,SAN ANTONIO,29.540698,-98.335276
CRESTVIEW EL,tx,bowie,NEW BOSTON,33.469306,-94.407719
CRESTVIEW EL,tx,mclennan,WACO,31.535144,-97.178116
CROCKETT,tx,travis,AUSTIN,30.213911,-97.796551
CROCKETT,tx,houston,CROCKETT,31.30046,-95.446861
CROCKETT EARLY EDUCATION SCHOOL,tx,dallas,GRAND PRAIRIE,32.73379,-96.990251
CROCKETT EARLY HEADSTART,tx,taylor,ABILENE,32.434357,-99.763015
CROCKETT EL,tx,hutchinson,BORGER,35.652262,-101.388972
CROCKETT EL,tx,brazos,BRYAN,30.640514,-96.353811
CROCKETT EL,tx,nueces,CORPUS CHRISTI,27.763244,-97.427127
CROCKETT EL,tx,houston,CROCKETT,31.314055,-95.448263
CROCKETT EL,tx,el paso,EL PASO,31.792599,-106.454607
CROCKETT EL,tx,harris,BAYTOWN,29.774287,-94.955221
CROCKETT EL,tx,hunt,GREENVILLE,33.163673,-96.097085
CROCKETT EL,tx,cameron,HARLINGEN,26.196335,-97.710248000000007
CROCKETT EL,tx,harris,HOUSTON,29.77372,-95.37936
CROCKETT EL,tx,harrison,MARSHALL,32.547938,-94.320703
CROCKETT EL,tx,midland,MIDLAND,32.013766,-102.072033
CROCKETT EL,tx,tom green,SAN ANGELO,31.43867,-100.461984
CROCKETT EL,tx,hays,SAN MARCOS,29.88523,-97.961531
CROCKETT EL,tx,parker,WEATHERFORD,32.761078,-97.781355
CROCKETT EL,tx,wichita,WICHITA FALLS,33.89738,-98.53043
CROCKETT INT,tx,lamar,PARIS,33.655454,-95.525801
CROCKETT J H,tx,houston,CROCKETT,31.3056,-95.440631
CROCKETT MIDDLE,tx,randall,AMARILLO,35.17931,-101.892304
CROCKETT MIDDLE,tx,ector,ODESSA,31.856916,-102.406253
CROCKETT MIDDLE,tx,dallas,IRVING,32.835525,-96.977998
CROCKETT MIDDLE,tx,reeves,PECOS,31.409088,-103.507808
CROMACK EL,tx,cameron,BROWNSVILLE,25.905089,-97.465114
CROSBY,tx,harris,CROSBY,29.899492,-95.066751
CROSBY CROSSROADS ACADEMY,tx,harris,CROSBY,29.89957,-95.069151
CROSBY DAEP,tx,harris,HUMBLE,29.99549,-95.194751
CROSBY EL,tx,harris,CROSBY,29.91302,-95.060361
CROSBY EL,tx,el paso,EL PASO,31.877822,-106.414012
CROSBY EL,tx,kaufman,FORNEY,32.758947,-96.441398
CROSBY KINDERGARTEN CENTER,tx,harris,CROSBY,29.912554,-95.060772
CROSBY MIDDLE,tx,harris,CROSBY,29.899394,-95.072287
CROSBY MIDDLE,tx,galveston,HITCHCOCK,29.349244,-95.031842
CROSBYTON DAEP,tx,crosby,CROSBYTON,33.658381,-101.24788
CROSBYTON EL,tx,crosby,CROSBYTON,33.65855,-101.247101
CROSBYTON SECONDARY,tx,crosby,CROSBYTON,33.65855,-101.247101
CROSS OAKS EL,tx,denton,CROSS ROADS,33.207805,-96.981939
CROSS PLAINS,tx,callahan,CROSS PLAINS,32.131342,-99.16478
CROSS PLAINS EL,tx,callahan,CROSS PLAINS,32.131342,-99.16478
CROSS ROADS,tx,henderson,MALAKOFF,32.05146,-95.967272
CROSS ROADS EL,tx,henderson,MALAKOFF,32.05146,-95.967272
CROSS ROADS J H,tx,henderson,MALAKOFF,32.05146,-95.967272
CROSS TIMBERS EL,tx,parker,AZLE,32.909919,-97.561409
CROSS TIMBERS INT,tx,tarrant,ARLINGTON,32.621646,-97.157976
CROSS TIMBERS MIDDLE,tx,tarrant,GRAPEVINE,32.913089,-97.123119
CROSSLAND NINTH GRADE CENTER,tx,hood,GRANBURY,32.445739,-97.795744
CROSSROADS,tx,harris,HOUSTON,29.708238,-95.597479
CROSSROADS,tx,tarrant,BURLESON,32.5617,-97.333
CROSSROADS,tx,coryell,COPPERAS COVE,31.121249,-97.89983
CROSSTIMBERS ACADEMY,tx,parker,WEATHERFORD,32.696052,-97.798806
CROSSWINDS,tx,dallas,GRAND PRAIRIE,32.75639,-97.018351
CROUCH EL,tx,tarrant,GRAND PRAIRIE,32.72824,-97.05698
CROW EL,tx,tarrant,ARLINGTON,32.728069,-97.088859
CROWELL SCHOOL,tx,foard,CROWELL,33.990653,-99.720712
CROWLEY,tx,tarrant,CROWLEY,32.57833,-97.375702
CROWLEY ALTERNATIVE SCHOOL,tx,tarrant,CROWLEY,32.579259,-97.361031
CROWLEY MIDDLE,tx,tarrant,FORT WORTH,32.616999,-97.376361
CROWNOVER MIDDLE,tx,denton,CORINTH,33.147762,-97.082273
CRUTCHFIELD EL,tx,grayson,SHERMAN,33.63619,-96.5868
CRYAR INTERMEDIATE,tx,montgomery,CONROE,30.336676,-95.48823
CRYSTAL CITY,tx,zavala,CRYSTAL CITY,28.69037,-99.821498
CUERO,tx,dewitt,CUERO,29.09014,-97.28004
CUERO INT,tx,dewitt,CUERO,29.092943000000002,-97.275335
CUERO J H,tx,dewitt,CUERO,29.092838,-97.272767
CULLEN MIDDLE,tx,nueces,CORPUS CHRISTI,27.717676,-97.356576
CULLEN MIDDLE,tx,harris,HOUSTON,29.691059,-95.363869
CUMBERLAND,tx,smith,TYLER,32.271313,-95.279405
CUMBERLAND ACADEMY,tx,smith,TYLER,32.29619,-95.287021
CUMBERLAND ACADEMY MIDDLE,tx,smith,TYLER,32.2962,-95.288941
CUMBY,tx,hopkins,CUMBY,33.135552,-95.844699
CUMBY EL,tx,hopkins,CUMBY,33.134858,-95.844121
CUMMINGS EL,tx,harris,HOUSTON,29.663848,-95.585513
CUMMINGS MIDDLE,tx,cameron,BROWNSVILLE,25.913899,-97.493734
CUNNINGHAM EL,tx,travis,AUSTIN,30.209982,-97.806022
CUNNINGHAM EL,tx,harris,HOUSTON,29.717034,-95.46854
CUNNINGHAM MIDDLE,tx,nueces,CORPUS CHRISTI,27.75146,-97.42794
CUNNINGHAM MIDDLE,tx,harris,HOUSTON,29.802304,-95.200772
CUNNINGHAM SCHOOL,tx,wichita,WICHITA FALLS,33.866089,-98.549013
CUNNINGHAM SPECIAL ED CENTER,tx,wichita,WICHITA FALLS,33.865608,-98.548824
CURINGTON EL,tx,kendall,BOERNE,29.803433,-98.727692
CURTIS EL,tx,jefferson,BEAUMONT,30.089214,-94.164157
CURTIS EL,tx,parker,WEATHERFORD,32.747511,-97.804887
CURTISTENE S MCCOWAN MIDDLE (IST,tx,dallas,GLENN HEIGHTS,32.563686,-96.882336
CURTSINGER EL,tx,collin,FRISCO,33.12421,-96.770129
CUSHING EL,tx,nacogdoches,CUSHING,31.820505,-94.837302
CUSHING SCHOOL,tx,nacogdoches,CUSHING,31.819423,-94.836701
CY-FAIR HIGH SCHOOL,tx,harris,CYPRESS,29.940687,-95.653304
CYNTHIA A COCKRELL EL,tx,collin,PROSPER,33.24832,-96.73463
CYPRESS-FAIRBANKS J J A E P,tx,harris,HOUSTON,29.921816,-95.583722
CYPRESS CREEK,tx,harris,HOUSTON,29.965823,-95.565165
CYPRESS EL,tx,williamson,CEDAR PARK,30.46521,-97.835975
CYPRESS FALLS,tx,harris,HOUSTON,29.918588,-95.631662
CYPRESS GROVE INT,tx,brazos,COLLEGE STATION,30.570771,-96.292601
CYPRESS LAKES,tx,harris,KATY,29.85419,-95.703051
CYPRESS PARK,tx,harris,HOUSTON,29.92274,-95.583961
CYPRESS RANCH,tx,harris,CYPRESS,29.941119,-95.719693
CYPRESS RIDGE,tx,harris,HOUSTON,29.893312,-95.604799
CYPRESS SPRINGS,tx,harris,CYPRESS,29.89285,-95.719945
CYPRESS WOODS,tx,harris,CYPRESS,29.971016,-95.681547
CYPRESSWOOD EL,tx,harris,HUMBLE,30.021196,-95.326874
D'HANIS SCHOOL,tx,medina,D'HANIS,29.331916,-99.271869
D A E P,tx,montgomery,CONROE,30.31683,-95.454011
D A HULCY STEAM MIDDLE,tx,dallas,DALLAS,32.63462,-96.842621
D C CANNON EL,tx,hunt,QUINLAN,32.905479,-96.134668
D D HACHAR EL,tx,webb,LAREDO,27.50611,-99.464971
D H BRENT EL,tx,denton,LITTLE ELM,33.162404,-96.902659
D H S FRESHMAN CAMPUS,tx,dallas,DESOTO,32.579999,-96.872198
D J RED SIMON MIDDLE,tx,hays,KYLE,29.945430000000002,-97.828721
D L ROUNTREE EL,tx,collin,ALLEN,33.09947,-96.651943
D P MORRIS EL,tx,tarrant,ARLINGTON,32.618584,-97.125051
D U BUCKNER EL,tx,hidalgo,PHARR,26.202207,-98.17512
DAEP,tx,hale,PLAINVIEW,34.193759,-101.712885
DAEP,tx,cooke,GAINESVILLE,33.63609,-97.105851
DAEP,tx,mclennan,CHINA SPRING,31.65055,-97.309461
DAEP,tx,maverick,EAGLE PASS,28.725463,-100.496925
DAEP,tx,galveston,LA MARQUE,29.363122,-94.970063
DAEP,tx,lamar,PARIS,33.655332,-95.536
DAEP,tx,hidalgo,PROGRESO,26.1069,-97.95963
DAEP,tx,hale,PLAINVIEW,34.193771,-101.712861
DAEP- EL,tx,travis,AUSTIN,30.250465,-97.759694
DAEP AT HOLMGREEN,tx,bexar,SAN ANTONIO,29.519117,-98.578523
DAFFRON EL,tx,collin,PLANO,33.049493,-96.779227
DAGGETT EL,tx,tarrant,FORT WORTH,32.717301,-97.334626
DAGGETT MIDDLE,tx,tarrant,FORT WORTH,32.71921,-97.33731
DAGGETT MONTESSORI,tx,tarrant,FT WORTH,32.71814,-97.332473
DAICHES EL,tx,webb,LAREDO,27.497067,-99.481631
DAILEY MIDDLE,tx,travis,AUSTIN,30.24257,-97.589941
DAINGERFIELD,tx,morris,DAINGERFIELD,33.014536,-94.718007
DAINGERFIELD J H,tx,morris,DAINGERFIELD,33.036149,-94.714716
DALE JACKSON CAREER CTR,tx,denton,LEWISVILLE,33.026677,-97.009744
DALHART,tx,hartley,DALHART,36.04971,-102.504712
DALHART EL,tx,hartley,DALHART,36.052395,-102.513065
DALHART INT,tx,dallam,DALHART,36.058274,-102.518196
DALHART J H,tx,hartley,DALHART,36.050872,-102.502536
DALLAS CAN ACADEMY - GRANT EAST,tx,dallas,DALLAS,32.65405,-96.774581
DALLAS CAN ACADEMY AT CARROLLTON,tx,dallas,FARMERS BRANCH,32.942347,-96.889275
DALLAS CAN ACADEMY AT PLEASANT G,tx,dallas,DALLAS,32.73229,-96.649071
DALLAS CAN ACADEMY CHARTER,tx,dallas,DALLAS,32.805007,-96.778488
DALLAS CAN ACADEMY CHARTER-OAK C,tx,dallas,DALLAS,32.741615,-96.82762
DALLAS CO SCHOOL FOR ACCELERATED,tx,dallas,DALLAS,32.771326,-96.868319
DALLAS COUNTY JJAEP,tx,dallas,DALLAS,32.76849,-96.869841
DALLAS COUNTY JJAEP CFB CAMPUS,tx,dallas,DALLAS,32.771614,-96.86888
DALLAS COUNTY JJAEP DESOTO CAMPU,tx,dallas,DALLAS,32.77173,-96.868812
DALLAS COUNTY JUVENILE JUSTICE,tx,dallas,DALLAS,32.769274,-96.867802
DALLAS ENVIRONMENTAL SCIENCE ACA,tx,dallas,DALLAS,32.786581,-96.863958
DALLAS PARK EL,tx,tarrant,FORT WORTH,32.614324,-97.393961
DALLAS PRIME PREP,tx,dallas,DALLAS,32.690646,-96.819437
DALTON EL,tx,uvalde,UVALDE,29.220726,-99.775842
DAMON ISD,tx,brazoria,DAMON,29.288783,-95.74033
DAN CHADWICK CAMPUS,tx,gregg,LONGVIEW,32.52018,-94.706697
DAN D ROGERS EL,tx,dallas,DALLAS,32.851556,-96.752299
DAN J KUBACAK EL,tx,galveston,SANTA FE,29.382978,-95.105785
DAN POWELL INT,tx,tarrant,EVERMAN,32.624378,-97.303361
DANBURY,tx,brazoria,DANBURY,29.223696,-95.341777
DANBURY EL,tx,brazoria,DANBURY,29.231976,-95.350341
DANBURY MIDDLE,tx,brazoria,DANBURY,29.225229,-95.343606
DANFORTH J H,tx,hays,WIMBERLEY,30.003071,-98.113491
DANIEL RAMIREZ EL,tx,hidalgo,PHARR,26.215391,-98.189991
DANIEL SINGLETERRY SR,tx,hidalgo,DONNA,26.243754,-98.076063
DANIEL WEBSTER EL,tx,dallas,DALLAS,32.696697,-96.861125
DANIELS EL,tx,kerr,KERRVILLE,30.035917,-99.121624
DANISH EL,tx,harris,HOUSTON,29.932343,-95.598983
DANNY JONES MIDDLE,tx,tarrant,MANSFIELD,32.582819,-97.062522
DARROUZETT SCHOOLS,tx,lipscomb,DARROUZETT,36.447431,-100.325595
DARTMOUTH EL,tx,dallas,RICHARDSON,32.95394,-96.689106
DARWIN L GILMORE EL,tx,galveston,LEAGUE CITY,29.483811,-95.13873
DAUGHERTY EL,tx,dallas,GARLAND,32.893927,-96.637194
DAVID AND LYNDA OLSON EL,tx,collin,ALLEN,33.11526,-96.624801
DAVID BARKLEY/FRANCISCO RUIZ EL,tx,bexar,SAN ANTONIO,29.41638,-98.524431
DAVID CROCKETT 5TH GRADE CENTER,tx,dallas,GRAND PRAIRIE,32.73379,-96.990251
DAVID CROCKETT EL,tx,bexar,SAN ANTONIO,29.433663,-98.525384
DAVID CROCKETT MIDDLE,tx,fort bend,RICHMOND,29.681798,-95.72789
DAVID DANIELS EL ACADEMY OF SCIE,tx,dallas,GRAND PRAIRIE,32.732545,-97.030196
DAVID E SMITH EL,tx,tarrant,HALTOM CITY,32.818675,-97.273815
DAVID EL,tx,montgomery,THE WOODLANDS,30.179164,-95.503518
DAVID G BURNET EL,tx,dallas,DALLAS,32.87641,-96.868753
DAVID G SANCHEZ EL,tx,cameron,LA FERIA,26.15264,-97.824256
DAVID K SELLARS EL,tx,tarrant,FORT WORTH,32.66689,-97.262695
DAVID L WALKER INT,tx,tarrant,FORT WORTH,32.62922,-97.34008
DAVID S CROCKETT EARLY CHILDHOOD,tx,ellis,ENNIS,32.310925,-96.639039
DAVID W CARTER,tx,dallas,DALLAS,32.64813,-96.848632
DAVID YBARRA MIDDLE,tx,hidalgo,EDCOUCH,26.299785,-97.966731
DAVILA EL,tx,harris,HOUSTON,29.713984,-95.284874
DAVINCI SCHOOL FOR SCIENCE AND T,tx,el paso,EL PASO,31.858322,-106.574439
DAVIS,tx,harris,HOUSTON,29.783725,-95.358
DAVIS EL,tx,travis,AUSTIN,30.4187,-97.741532
DAVIS EL,tx,denton,CARROLLTON,33.005299,-96.890495
DAVIS EL,tx,dallas,GARLAND,32.928022,-96.675855
DAVIS EL,tx,dallas,IRVING,32.818026,-96.999646
DAVIS EL,tx,collin,PLANO,33.034438,-96.745817
DAVIS EL,tx,collin,ROYSE CITY,33.044901,-96.308777
DAVIS H S ALDINE,tx,harris,HOUSTON,29.954828,-95.430634
DAVIS INTERMEDIATE SCHOOL,tx,collin,WYLIE,33.030052,-96.554765
DAVIS MIDDLE,tx,bexar,SAN ANTONIO,29.423533,-98.400657
DAVIS NINTH GRADE,tx,harris,HOUSTON,29.95399,-95.433951
DAVY CROCKETT REGIONAL JUVENILE,tx,houston,CROCKETT,31.29574,-95.450211
DAWSON,tx,navarro,DAWSON,31.897555,-96.710343
DAWSON DAEP,tx,navarro,CORSICANA,32.09999,-96.467481
DAWSON EL,tx,travis,AUSTIN,30.234204,-97.763601
